Category,Message
ham,"Chào anh, em gửi báo giá mới nhất."
ham,"chào anh, em gửi báo giá mới nhất."
ham,Vui lòng xem hợp đồng đính kèm.
ham,vui lòng xem hợp đồng đính kèm.
ham,Lịch họp được chuyển sang chiều mai.
ham,lịch họp được chuyển sang chiều mai.
ham,Anh kiểm tra giúp em tài liệu nhé.
ham,anh kiểm tra giúp em tài liệu nhé.
ham,Gửi báo cáo cho tôi trước 5 giờ.
ham,gửi báo cáo cho tôi trước 5 giờ.
ham,Cảm ơn bạn đã sử dụng dịch vụ.
ham,cảm ơn bạn đã sử dụng dịch vụ.
ham,Xác nhận đơn hàng của bạn.
ham,xác nhận đơn hàng của bạn.
ham,Thông báo lịch nghỉ lễ.
ham,thông báo lịch nghỉ lễ.
ham,Mời tham gia cuộc họp trực tuyến.
ham,mời tham gia cuộc họp trực tuyến.
ham,Tôi đã gửi email cho bạn.
ham,tôi đã gửi email cho bạn.
spam,Chúc mừng bạn đã trúng thưởng 100 triệu đồng.
spam,chúc mừng bạn đã trúng thưởng 100 triệu đồng.
spam,Nhấn vào đây để nhận quà miễn phí.
spam,nhấn vào đây để nhận quà miễn phí.
spam,Vay tiền nhanh giải ngân trong 5 phút.
spam,vay tiền nhanh giải ngân trong 5 phút.
spam,Nhận khoản vay lên tới 500 triệu.
spam,nhận khoản vay lên tới 500 triệu.
spam,Tài khoản của bạn sắp bị khóa xác minh ngay.
spam,tài khoản của bạn sắp bị khóa xác minh ngay.
spam,Khuyến mãi đặc biệt chỉ hôm nay.
spam,khuyến mãi đặc biệt chỉ hôm nay.
spam,Nhận tiền ngay không cần thế chấp.
spam,nhận tiền ngay không cần thế chấp.
spam,Bấm vào liên kết để nhận thưởng.
spam,bấm vào liên kết để nhận thưởng.
spam,Ưu đãi cực lớn dành riêng cho bạn.
spam,ưu đãi cực lớn dành riêng cho bạn.
spam,Mở thẻ tín dụng nhận quà miễn phí.
spam,mở thẻ tín dụng nhận quà miễn phí.
ham,Please find the attached report.
ham,Can we schedule a meeting tomorrow?
ham,Thank you for your email.
ham,The project deadline is next week.
ham,I have sent the contract for review.
ham,Let's discuss this in our next meeting.
ham,Your order has been confirmed.
ham,Please review the attached document.
ham,We appreciate your support.
ham,Here is the monthly report.
spam,Congratulations! You have won $1000.
spam,Claim your free iPhone now.
spam,Click here to receive your reward.
spam,Limited time offer buy now.
spam,Earn money from home with no experience.
spam,Your account will be suspended verify now.
spam,Free gift waiting for you.
spam,You are selected for a cash prize.
spam,Act now to get your reward.
spam,Exclusive promotion available today.
ham,"Chào anh, em gửi báo giá mới nhất."
ham,"chào anh, em gửi báo giá mới nhất."
ham,Vui lòng xem hợp đồng đính kèm.
ham,vui lòng xem hợp đồng đính kèm.
ham,Lịch họp được chuyển sang chiều mai.
ham,lịch họp được chuyển sang chiều mai.
ham,Anh kiểm tra giúp em tài liệu nhé.
ham,anh kiểm tra giúp em tài liệu nhé.
ham,Gửi báo cáo cho tôi trước 5 giờ.
ham,gửi báo cáo cho tôi trước 5 giờ.
ham,Cảm ơn bạn đã sử dụng dịch vụ.
ham,cảm ơn bạn đã sử dụng dịch vụ.
ham,Xác nhận đơn hàng của bạn.
ham,xác nhận đơn hàng của bạn.
ham,Thông báo lịch nghỉ lễ.
ham,thông báo lịch nghỉ lễ.
ham,Mời tham gia cuộc họp trực tuyến.
ham,mời tham gia cuộc họp trực tuyến.
ham,Tôi đã gửi email cho bạn.
ham,tôi đã gửi email cho bạn.
spam,Chúc mừng bạn đã trúng thưởng 100 triệu đồng.
spam,chúc mừng bạn đã trúng thưởng 100 triệu đồng.
spam,Nhấn vào đây để nhận quà miễn phí.
spam,nhấn vào đây để nhận quà miễn phí.
spam,Vay tiền nhanh giải ngân trong 5 phút.
spam,vay tiền nhanh giải ngân trong 5 phút.
spam,Nhận khoản vay lên tới 500 triệu.
spam,nhận khoản vay lên tới 500 triệu.
spam,Tài khoản của bạn sắp bị khóa xác minh ngay.
spam,tài khoản của bạn sắp bị khóa xác minh ngay.
spam,Khuyến mãi đặc biệt chỉ hôm nay.
spam,khuyến mãi đặc biệt chỉ hôm nay.
spam,Nhận tiền ngay không cần thế chấp.
spam,nhận tiền ngay không cần thế chấp.
spam,Bấm vào liên kết để nhận thưởng.
spam,bấm vào liên kết để nhận thưởng.
spam,Ưu đãi cực lớn dành riêng cho bạn.
spam,ưu đãi cực lớn dành riêng cho bạn.
spam,Mở thẻ tín dụng nhận quà miễn phí.
spam,mở thẻ tín dụng nhận quà miễn phí.
ham,Please find the attached report.
ham,Can we schedule a meeting tomorrow?
ham,Thank you for your email.
ham,The project deadline is next week.
ham,I have sent the contract for review.
ham,Let's discuss this in our next meeting.
ham,Your order has been confirmed.
ham,Please review the attached document.
ham,We appreciate your support.
ham,Here is the monthly report.
spam,Congratulations! You have won $1000.
spam,Claim your free iPhone now.
spam,Click here to receive your reward.
spam,Limited time offer buy now.
spam,Earn money from home with no experience.
spam,Your account will be suspended verify now.
spam,Free gift waiting for you.
spam,You are selected for a cash prize.
spam,Act now to get your reward.
spam,Exclusive promotion available today.
ham,"Chào anh, em gửi báo giá mới nhất."
ham,"chào anh, em gửi báo giá mới nhất."
ham,Vui lòng xem hợp đồng đính kèm.
ham,vui lòng xem hợp đồng đính kèm.
ham,Lịch họp được chuyển sang chiều mai.
ham,lịch họp được chuyển sang chiều mai.
ham,Anh kiểm tra giúp em tài liệu nhé.
ham,anh kiểm tra giúp em tài liệu nhé.
